Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
108,2018-10-10,3,True,False,3162,1675,12982,9.28,33.53,65.0,11,695,232,23,69,1713,-1,11.0,107.96352,239.0,1222.26804,0.0,0.0,1780.35102,1155.0,95.0,376.0,0.0,2018-10-10T22:49:00.000,2018-10-11T05:54:00.000,425.0,80.0,3.0,221.0,34.0,75.0,6.0,49.0,32.0,19.0,52.0,18.0
59,2018-08-22,3,True,False,3291,1680,9556,6.42,51.82,62.0,17,689,155,63,85,1791,-1,24.0,249.43064,236.0,1267.92936,0.0,0.0,1626.25976,1063.0,97.0,358.0,0.0,2018-08-22T22:32:30.000,2018-08-23T05:27:00.000,414.0,61.0,4.0,190.0,28.0,107.0,8.0,56.0,28.0,15.0,46.0,26.0
63,2018-08-26,7,False,True,2585,1680,6541,4.25,39.62,63.0,13,1149,234,54,3,1183,-1,42.0,49.0224,517.0,920.80408,0.0,0.0,1564.28144,841.0,94.0,387.0,0.0,2018-08-26T23:09:00.000,2018-08-27T06:16:30.000,427.0,80.0,5.0,218.0,29.0,89.0,5.0,40.0,28.0,19.0,52.0,21.0
96,2018-09-28,5,True,False,2973,1680,8652,5.75,24.38,63.0,8,762,157,22,64,1412,-1,16.0,172.00106,176.0,882.40978,10.0,123.34133,1634.36014,1107.0,97.0,398.0,0.0,2018-09-28T22:41:00.000,2018-09-29T06:37:30.000,476.0,54.0,4.0,243.0,32.0,101.0,8.0,78.0,35.0,12.0,52.0,22.0
37,2018-07-31,2,True,False,3187,1680,12941,8.21,27.43,61.0,9,645,169,68,84,1752,-1,3.0,30.3446,210.0,1284.16013,0.0,0.0,1832.81384,1207.0,94.0,362.0,0.0,2018-07-31T22:46:00.000,2018-08-01T05:32:00.000,406.0,65.0,3.0,214.0,38.0,83.0,7.0,44.0,39.0,17.0,53.0,21.0
29,2018-07-23,1,True,False,2828,1680,7691,4.98,15.24,57.0,5,726,169,41,44,1279,-1,0.0,0.0,116.0,713.97624,0.0,0.0,2001.63128,1278.0,97.0,348.0,0.0,2018-07-23T22:42:00.000,2018-07-24T05:22:30.000,400.0,60.0,3.0,179.0,27.0,109.0,11.0,52.0,31.0,15.0,45.0,28.0
107,2018-10-09,2,True,False,1500,686,6763,5.14,3.05,,1,13,78,19,59,973,-1,22.0,227.4447,105.0,586.81896,0.0,0.0,648.36282,441.0,,,,,,,,,,,,,,,,,
1,2018-06-25,1,True,False,2863,1685,8394,5.55,36.58,58.0,12,709,244,42,14,1361,-1,2.0,12.40518,94.0,514.11279,0.0,0.0,2311.92765,1326.0,95.0,333.0,0.0,2018-06-25T22:49:30.000,2018-06-26T05:16:30.000,387.0,75.0,3.0,214.0,27.0,44.0,7.0,54.0,30.0,20.0,56.0,12.0
52,2018-08-15,3,True,False,2961,1680,8611,5.34,12.19,62.0,4,715,180,63,52,1512,-1,8.0,54.62964,161.0,968.15862,0.0,0.0,1885.88988,1227.0,99.0,378.0,0.0,2018-08-15T23:11:30.000,2018-08-16T06:09:00.000,417.0,86.0,5.0,198.0,26.0,94.0,3.0,39.0,25.0,21.0,48.0,23.0
21,2018-07-15,7,False,True,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018-06-26,2,True,False,3398,1683,13569,9.68,24.38,57.0,8,687,231,33,102,2004,-1,10.0,103.59112,187.0,1245.54876,0.0,0.0,2034.05724,1232.0,89.0,351.0,0.0,2018-06-26T22:25:30.000,2018-06-27T05:07:30.000,402.0,53.0,3.0,223.0,28.0,75.0,7.0,51.0,29.0,14.0,56.0,19.0
